No,HID,Hotel-Name,UPDATE URL 15 JAN,SLUG,Supplier-or-Direct,Country,SEARCH
1497,186036,tokyo-bay-ariake-washington-hotel,www.gother.com/th-th/hotels/japan/tokyo/koto/tokyo-bay-ariake-washington-hotel,japan/tokyo/koto/tokyo-bay-ariake-washington-hotel,Supplier,japan,33
1498,782980,voga-corte-chidoricho,www.gother.com/th-th/hotels/japan/tokyo/taito/voga-corte-chidoricho,japan/tokyo/taito/voga-corte-chidoricho,Supplier,japan,33
1565,280,mandarin-oriental-hong-kong,www.gother.com/th-th/hotels/hong-kong/hong-kong/central-district/mandarin-oriental-hong-kong,hong-kong/hong-kong/central-district/mandarin-oriental-hong-kong,Supplier,hong-kong,33
1569,226653,crowne-plaza-hong-kong-causeway-bay,www.gother.com/th-th/hotels/hong-kong/hong-kong/causeway-bay/crowne-plaza-hong-kong-causeway-bay,hong-kong/hong-kong/causeway-bay/crowne-plaza-hong-kong-causeway-bay,Supplier,hong-kong,33
1625,692369,caesar-metro-taipei,www.gother.com/th-th/hotels/taiwan/taipei/zhongzheng/caesar-metro-taipei,taiwan/taipei/zhongzheng/caesar-metro-taipei,Supplier,taiwan,33
1865,534718,chengdu-flipflop-lounge-hostel,www.gother.com/th-th/hotels/china/sichuan/chengdu/chengdu-flipflop-lounge-hostel,china/sichuan/chengdu/chengdu-flipflop-lounge-hostel,Supplier,china,33
257,2985,Miami-Hotel-Bangkok,www.gother.com/th-th/hotels/thailand/bangkok/watthana/miami-hotel-bangkok,thailand/bangkok/watthana/miami-hotel-bangkok,DIRECT,thailand,32
278,769489,sino-thungsong-hotel,www.gother.com/th-th/hotels/thailand/nakhon-si-thammarat/thung-song/sino-thungsong-hotel,thailand/nakhon-si-thammarat/thung-song/sino-thungsong-hotel,DIRECT,thailand,32
500,759667,Sooknirund-Hotel,www.gother.com/th-th/hotels/thailand/chiang-rai/muang-chiang-rai/sooknirund-hotel,thailand/chiang-rai/muang-chiang-rai/sooknirund-hotel,DIRECT,thailand,32
1634,330064,fun-inn-taipei,www.gother.com/th-th/hotels/taiwan/taipei/zhongzheng/fun-inn-taipei,taiwan/taipei/zhongzheng/fun-inn-taipei,Supplier,taiwan,32
1859,862196,ssaw-garden-hotel-beijing,www.gother.com/th-th/hotels/china/beijing/dongcheng/ssaw-garden-hotel-beijing,china/beijing/dongcheng/ssaw-garden-hotel-beijing,Supplier,china,32
1861,721854,crowne-plaza-resort-changbaishan-hot-spring,www.gother.com/th-th/hotels/china/jilin/baishan/crowne-plaza-resort-changbaishan-hot-spring,china/jilin/baishan/crowne-plaza-resort-changbaishan-hot-spring,Supplier,china,32
1868,374015,the-eton-hotel-shanghai,www.gother.com/th-th/hotels/china/shanghai/pudong/the-eton-hotel-shanghai,china/shanghai/pudong/the-eton-hotel-shanghai,Supplier,china,32
1880,679377,ji-hotel-guangzhou-tianhe-east-railway-station,www.gother.com/th-th/hotels/china/guangdong/tianhe-district-teemall-east-railway-station/ji-hotel-guangzhou-tianhe-east-railway-station,china/guangdong/guangzhou/ji-hotel-guangzhou-tianhe-east-railway-station,Supplier,china,32
